Lycoperdon / pyriforme,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agaricus / abruptibulbus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agaricus / arvensis,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agaricus / augustus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agaricus / bitorquis,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agaricus / haemorrhoidarius,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agaricus / macrosporus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agaricus / placomyces,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agaricus / sylvaticus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agaricus / silvicola,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agaricus / sp.,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agaricus / xanthodermus,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agrocybe / aegerita,Strophariaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agrocybe / dura,Strophariaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agrocybe / praecox,Strophariaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Agrocybe / sphaleromorpha,Strophariaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / citrina,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / eliae,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / excelsa,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / fulva,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / gemmata,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / ceciliae,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / muscaria,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / pantherina,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / phalloides,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / rubescens,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / spissa,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / vaginata,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Amanita / vaginata var.fulva,Amanitaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Armallaria / polymyces,Physalacriaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Armillaria / mellea,Physalacriaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Ascocoryne / sarcoides,Heliotiaceae,Heliotiales,Leotiomycetidae,Leotiomycetes,Pezizomycotina,Ascomycota,Fungi
Astraeus / hygrometricus,Diplocystidiaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Auricularia / auricula-judae,Auriculariaceae,Auriculariales,Incertaesedis,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Auricularia / mesenterica,Auriculariaceae,Auriculariales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Bisporella / citrina,Heliotiaceae,Heliotiales,Leotiomycetidae,Leotiomycetes,Pezizomycotina,Ascomycota,Fungi
Bjerkandera / adusta,Meruliaceae,Polyporales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Bolbitus / titubans,Bolbitiaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Suillus / cavipes,Suillaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Boletus / aereus,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Boletus / appendiculatus,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Boletus / betulicola,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Boletus / edulis,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Boletus / erythropus,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Boletus / impolitus,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Suillellus / luridus,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Pseudoboletus / parasiticus,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Boletus / queletii,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Boletus / sp.,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Bovista / plumbea,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Bulgaria / inquinans,Bulgariaceae,Leotiales,Leotiomycetidae,Laotiomycetes,Pezizomycotina,Ascomycota,Fungi
Calocera / cornea,Dacrymycetaceae,Dacrymycetales,Incertae sedis,Dacrymycetes,Agaricomycotina,Basidiomycota,Fungi
Calocera / glossoides,Dacrymycetaceae,Dacrymycetales,Incertae sedis,Dacrymycetes,Agaricomycotina,Basidiomycota,Fungi
Calvatia / excipuliformis,Agaricaceae,Agaricales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Cantharellus / cibarius,Cantharellaceae,Cantharellales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Cantharellus / cinereus,Cantharellaceae,Cantharellales,Incertae sedis,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
Ceratiomyxa / fruticulosa,Ceratiomyxaceae,Protostelida,Incertae sedis,Protostelea,Mycetozoa,Amoebozoa,Protozoa
Chalciporus / piperatus,Boletaceae,Boletales,Agaricomycetidae,Agaricomycetes,Agaricomycotina,Basidiomycota,Fungi
